"","Estimate","Standard error","t value","p value"
"(Intercept)","-0.673174533072713","0.0703264988542932","-9.57213204182734","1.78534258715461e-20"
"sites","0.0225116403756638","0.00300213770881472","7.49853689574809","1.97092392905742e-13"
"n_sampled","-0.000193311624358824","0.000129463602177113","-1.49317353378105","0.135844931174559"
"n_false_e","0.0142798837576998","0.000505787839012482","28.2329519538872","1.82536038475349e-117"
"dispersion","0.0694967219494475","0.00822811428842636","8.44625141476235","1.74924126626446e-16"
"mu","0.0627957270091439","0.0197361871896461","3.18175574672739","0.0015289130792689"
"r2","0.606","","",""
"resp_mean_ci","0.102 [-0.002, 0.473]","","",""
