"","Estimate","Standard error","t value","p value"
"(Intercept)","0.143222434187222","0.0286469973611815","4.99956181729877","7.27716904547574e-07"
"sites","0.00689210820311162","0.00265661270820117","2.59432177744055","0.00967695245932376"
"n_sampled","-0.000826744603643829","5.11321957247093e-05","-16.1687678756246","3.57769467200437e-50"
"dispersion","0.00983657193192308","0.00367096431252897","2.67956076237269","0.00754589614222494"
"mu","-0.00225063211115392","0.00836671514178797","-0.268998295389911","0.788010599773972"
"n_false_e",NA,NA,NA,NA
"r2","0.310","","",""
"resp_mean_ci","0.098 [0.051, 0.174]","","",""
