"","Estimate","Standard error","t value","p value"
"(Intercept)","-0.290527212644069","0.0685479695938776","-4.23830515134642","2.55568702240708e-05"
"sites","0.0878107229463202","0.00612062447469441","14.3466934312621","4.40796070813279e-41"
"n_sampled","0.00137485548244324","0.000120168391663592","11.4410741744145","6.79513488136416e-28"
"n_false_e","0.0064186611319921","0.000322766919957028","19.8863660899532","5.0128813815497e-70"
"dispersion","0.0235480736240756","0.00870037801746036","2.70655752851407","0.00696511592164428"
"mu","0.0165069530448922","0.0199538526272952","0.827256437802495","0.408375262077749"
"r2","0.569","","",""
"resp_mean_ci","0.393 [0.192, 0.705]","","",""
