"","Estimate","Standard error","t value","p value"
"(Intercept)","-0.0118980312485344","0.00736954533405054","-1.61448647226041","0.106874524501536"
"sites","-0.000480059092047091","0.000683423380861296","-0.702432936142876","0.482643726038992"
"n_sampled","2.85710223044021e-05","1.31539452345329e-05","2.17204966228648","0.0301883420821944"
"dispersion","0.000267282099081039","0.000944369058291704","0.283027166904995","0.777240047577664"
"mu","0.00991277395538202","0.00215236821357219","4.6055195820469","4.89094198607058e-06"
"n_false_e",NA,NA,NA,NA
"r2","0.040","","",""
"resp_mean_ci","-0.001 [-0.020, 0.017]","","",""
