"","Estimate","Standard error","t value","p value"
"(Intercept)","1.55303876493521","10.6895061988322","0.145286296302899","0.884526836950936"
"sites","0.853763696986683","0.507592633460146","1.68198598779255","0.0930194781829441"
"n_sampled","-0.17039089930621","0.021173020854261","-8.04754789026337","3.64215224701436e-15"
"dispersion","3.88460625898083","1.26233269343603","3.07732365578447","0.00217053184783293"
"mu","-21.9012009723154","3.20135707177166","-6.84122404383808","1.72038445207254e-11"
"n_false_e",NA,NA,NA,NA
"r2","0.163","","",""
"resp_mean_ci","4.302 [0.053, 24.520]","","",""
