"","Estimate","Standard error","t value","p value"
"(Intercept)","-14.3950083328472","22.409825810454","-0.642352531188888","0.520855533493511"
"sites","1.97241462873491","2.07820133070209","0.949096990554118","0.342900240799838"
"n_sampled","-0.171610992033812","0.0399994311812061","-4.29033581143635","2.03620842752592e-05"
"dispersion","5.79288898452404","2.87170308856321","2.01723117114533","0.0440542583867562"
"mu","-14.0757401068072","6.54507090461165","-2.15058634382241","0.0318520846095216"
"n_false_e",NA,NA,NA,NA
"r2","0.033","","",""
"resp_mean_ci","2.456 [0.055, 0.338]","","",""
