"","Estimate","Standard error","t value","p value"
"(Intercept)","10.9874283161671","8.34738504744817","1.31627189277988","0.188516114799825"
"sites","0.349756836107153","0.362298376207221","0.96538339412017","0.33468812382152"
"n_sampled","-0.105031970278784","0.0155334771483542","-6.76165222220787","2.89103021649501e-11"
"n_false_e","-0.114879002797718","0.0514501094706979","-2.23282329191437","0.0258778282117935"
"dispersion","1.55155018527754","0.978787244997865","1.58517613833528","0.113380539538611"
"mu","-15.1639512358328","2.33765091003678","-6.48683307277656","1.66332422653904e-10"
"r2","0.154","","",""
"resp_mean_ci","3.169 [0.057, 17.289]","","",""
