"","Estimate","Standard error","t value","p value"
"(Intercept)","0.168618005530518","2.14245724263728","0.0787030901596691","0.937291408988717"
"sites","-0.0669354906521433","0.19129926550652","-0.349899360433571","0.726520079678232"
"n_sampled","-0.0141184732147933","0.00375584634499123","-3.75906571194574","0.000184862449539051"
"n_false_e","-0.0166713232327714","0.0100880351298899","-1.65258378050011","0.0988665972784223"
"dispersion","0.472959462620536","0.271929103190461","1.73927489581456","0.0824285316944281"
"mu","-2.10167140464228","0.623654884793026","-3.36992695140962","0.000793371886778943"
"r2","0.041","","",""
"resp_mean_ci","0.434 [0.058, 0.288]","","",""
