"variable","nullStatic","nullWF","selectStatic","selectWF"
"(Intercept)","-0.012 +/- 0.007","0.106 +/- 0.048","-0.158 +/- 0.040","-0.291 +/- 0.069"
"dispersion","0.000 +/- 0.001","-0.017 +/- 0.006","0.026 +/- 0.005","0.024 +/- 0.009"
"n_sampled","0.000 +/- 0.000","0.000 +/- 0.000","0.001 +/- 0.000","0.001 +/- 0.000"
"sites","-0.000 +/- 0.001","0.024 +/- 0.004","0.043 +/- 0.004","0.088 +/- 0.006"
"mu","0.010 +/- 0.002","0.014 +/- 0.014","0.005 +/- 0.012","0.017 +/- 0.020"
"n_false_e","NA +/- NA","0.009 +/- 0.000","NA +/- NA","0.006 +/- 0.000"
"r2","0.040","0.664","0.344","0.569"
"resp_mean_ci","-0.001 [-0.020, 0.017]","0.108 [-0.001, 0.369]","0.271 [0.166, 0.421]","0.393 [0.192, 0.705]"
