"","Estimate","Standard error","t value","p value"
"(Intercept)","-0.0212698899923064","0.00591909313487336","-3.59343728974143","0.000349321082441275"
"sites","0.000447292934223609","0.000281068930233134","1.59139942594366","0.111973123487286"
"n_sampled","-2.36033286988794e-05","1.17241227098664e-05","-2.01322770862985","0.0444746471886252"
"dispersion","0.00178622196609314","0.000698990640040946","2.55543045038272","0.010816818832932"
"mu","0.0146296282514008","0.00177268531523673","8.25280613860513","7.73345557376864e-16"
"n_false_e",NA,NA,NA,NA
"r2","0.099","","",""
"resp_mean_ci","0.000 [-0.017, 0.015]","","",""
