"","Estimate","Standard error","t value","p value"
"(Intercept)","12.595663455559","8.83122247976627","1.42626499155894","0.154240246832661"
"sites","-0.189088368269699","0.37699226398813","-0.501570950738802","0.616127969007181"
"n_sampled","-0.0555537317719942","0.0162573410092097","-3.41714747451772","0.000669623827129989"
"n_false_e","-0.0420643720289845","0.0635141092852337","-0.662283900417762","0.508008523900473"
"dispersion","-0.130341540429028","1.03324222098113","-0.126148097495726","0.899651126457929"
"mu","-1.47510285598089","2.47836395688049","-0.595192183894409","0.55190847683715"
"r2","0.043","","",""
"resp_mean_ci","2.093 [0.050, 8.916]","","",""
