"","Estimate","Standard error","t value","p value"
"(Intercept)","-0.219287886044013","0.0382357218734194","-5.73515747316012","1.45194806409281e-08"
"sites","0.0413667627022704","0.00181562837393732","22.7837168090536","2.62605151965219e-86"
"n_sampled","0.000632079296334107","7.57346243638524e-05","8.34597519487789","3.78838891007983e-16"
"dispersion","0.0128597319595807","0.00451528825374715","2.84804230359127","0.00452848520371429"
"mu","0.0140918962507545","0.0114510620356942","1.23061915190299","0.218880473566777"
"n_false_e",NA,NA,NA,NA
"r2","0.688","","",""
"resp_mean_ci","0.169 [0.059, 0.400]","","",""
