"","Estimate","Standard error","t value","p value"
"(Intercept)","-1.36816916109545","0.111826233503352","-12.2347781753236","2.58343859490241e-31"
"sites","0.0673791426121519","0.00485355145178301","13.8824411941485","7.3725835288057e-39"
"n_sampled","0.000683635096057608","0.000208095137918893","3.28520456025292","0.00107016014203953"
"n_false_e","0.0170107750714227","0.000689254409942684","24.6799655193171","4.2574010488103e-97"
"dispersion","0.130720553599793","0.0131123807500283","9.96924632466232","5.68549620933074e-22"
"mu","0.112904297235912","0.0313164775590423","3.60526809003498","0.000334097850136042"
"r2","0.663","","",""
"resp_mean_ci","0.302 [0.069, 0.883]","","",""
