"","Estimate","Standard error","t value","p value"
"(Intercept)","0.105864449466859","0.0475182361184745","2.22786993193335","0.0262080409810233"
"sites","0.0236536186310901","0.00415232354061488","5.6964777430584","1.80532087535075e-08"
"n_sampled","0.000156683825404626","8.28970721922351e-05","1.89010083542254","0.0591597194120075"
"n_false_e","0.00850084844026001","0.000260594178924493","32.6210219865392","2.33184722141867e-142"
"dispersion","-0.0168765429110526","0.00603209142352904","-2.79779295871133","0.00528754627031191"
"mu","0.0142681898979213","0.013651535935383","1.04517103170347","0.296306782643677"
"r2","0.664","","",""
"resp_mean_ci","0.108 [-0.001, 0.369]","","",""
