"variable","nullStatic","nullWF","selectStatic","selectWF"
"(Intercept)","-0.021 +/- 0.006","-0.673 +/- 0.070","-0.219 +/- 0.038","-1.368 +/- 0.112"
"dispersion","0.002 +/- 0.001","0.069 +/- 0.008","0.013 +/- 0.005","0.131 +/- 0.013"
"n_sampled","-0.000 +/- 0.000","-0.000 +/- 0.000","0.001 +/- 0.000","0.001 +/- 0.000"
"sites","0.000 +/- 0.000","0.023 +/- 0.003","0.041 +/- 0.002","0.067 +/- 0.005"
"mu","0.015 +/- 0.002","0.063 +/- 0.020","0.014 +/- 0.011","0.113 +/- 0.031"
"n_false_e","NA +/- NA","0.014 +/- 0.001","NA +/- NA","0.017 +/- 0.001"
"r2","0.099","0.606","0.688","0.663"
"resp_mean_ci","0.000 [-0.017, 0.015]","0.102 [-0.002, 0.473]","0.169 [0.059, 0.400]","0.302 [0.069, 0.883]"
