"","Estimate","Standard error","t value","p value"
"(Intercept)","0.255099808791837","0.0528580880269687","4.82612629994643","1.71198983225418e-06"
"sites","0.0161499280521638","0.00461894003554865","3.49645761319036","0.000501414170978972"
"n_sampled","-0.00068666966512869","9.22126134520292e-05","-7.44659151739485","2.84068373409313e-13"
"n_false_e","-0.000274049748460228","0.000289878395624014","-0.945395561025815","0.344785049279711"
"dispersion","-0.0103125888163996","0.00670994644364878","-1.53691074928934","0.124769627235978"
"mu","0.050680553504588","0.0151856244490366","3.33740332343088","0.000890634446586104"
"r2","0.160","","",""
"resp_mean_ci","0.106 [0.050, 0.216]","","",""
