"","Estimate","StandardError","tValue","pValue"
"Intercept","0.493","0.010","47.035","0.000"
"gcd","-0.067","0.015","-4.545","0.000"
"gcell","-0.038","0.015","-2.594","0.010"
"latrange","-0.073","0.015","-4.892","0.000"
