"","Estimate","Standard error","t value","p value"
"(Intercept)","-0.808","0.081","-10.008","0.000"
"log_sites","0.076","0.008","9.994","0.000"
"log_mst","0.123","0.010","11.714","0.000"
"speciesN","0.001","0.000","3.867","0.000"
