"variable","nullStatic","nullWF","selectStatic","selectWF"
"(Intercept)","-1.868 +/- 6.219","12.596 +/- 8.831","1.553 +/- 10.690","10.987 +/- 8.347"
"dispersion","1.338 +/- 0.734","-0.130 +/- 1.033","3.885 +/- 1.262","1.552 +/- 0.979"
"n_sampled","-0.062 +/- 0.012","-0.056 +/- 0.016","-0.170 +/- 0.021","-0.105 +/- 0.016"
"sites","0.118 +/- 0.295","-0.189 +/- 0.377","0.854 +/- 0.508","0.350 +/- 0.362"
"mu","-0.200 +/- 1.862","-1.475 +/- 2.478","-21.901 +/- 3.201","-15.164 +/- 2.338"
"n_false_e","NA +/- NA","-0.042 +/- 0.064","NA +/- NA","-0.115 +/- 0.051"
"r2","0.055","0.043","0.163","0.154"
"resp_mean_ci","1.533 [0.048, 3.891]","2.093 [0.050, 8.916]","4.302 [0.053, 24.520]","3.169 [0.057, 17.289]"
