"","Estimate","Standard error","t value","p value"
"(Intercept)","-0.158325028605158","0.039754933627918","-3.98252529074716","7.53503509334821e-05"
"sites","0.0425269734554931","0.00368672013188837","11.5351781350732","2.70027994799512e-28"
"n_sampled","0.000684122626484875","7.09588171373256e-05","9.64112219008531","9.84519486682881e-21"
"dispersion","0.0256068290206187","0.00509438880295361","5.02647717146606","6.35783546115002e-07"
"mu","0.00527481287642515","0.0116109273496215","0.454297294056974","0.649756300999515"
"n_false_e",NA,NA,NA,NA
"r2","0.344","","",""
"resp_mean_ci","0.271 [0.166, 0.421]","","",""
