"","Estimate","Standard error","t value","p value"
"(Intercept)","-1.86819222897643","6.21893464827252","-0.300403901091865","0.763958665368074"
"sites","0.117608981009022","0.295306944653631","0.398260126076503","0.690560410407135"
"n_sampled","-0.0618037948477504","0.0123180276572125","-5.01734503019749","6.65641301999264e-07"
"dispersion","1.33793494743193","0.734399174183941","1.82180889421428","0.0689124378438297"
"mu","-0.199573547160681","1.8624836400121","-0.107154523601283","0.914697227549593"
"n_false_e",NA,NA,NA,NA
"r2","0.055","","",""
"resp_mean_ci","1.533 [0.048, 3.891]","","",""
