"species","chull","latrange","gcd","gcell"
"Leptonycteris_yerbabuenae",84178.5995,2.27945859,411.5624931,4
"Lepus_alleni",47620.84309,2.03485859,300.3346863,2
"Lepus_americanus",1698250.385,13.90542241,4584.860299,60
"Lepus_californicus",3408254.398,22.13885859,3152.897998,61
"Lepus_callotis",8858.554381,1.10663459,141.7475726,2
"Lepus_townsendii",2761227.68,13.34372241,2807.559949,50
"Lontra_canadensis",7770357.859,24.43695792,4662.044047,119
"Lynx_canadensis",301752.1073,12.38955557,4045.46982,21
"Lynx_rufus",7289869.109,24.43698116,4662.044356,118
"Macrotus_californicus",250015.7189,5.32275859,784.1869668,9
"Marmota_caligata",180610.0894,4.18645841,833.6931859,7
"Marmota_flaviventris",1621215.595,14.7887747,2036.492487,36
"Marmota_monax",2657663.974,17.72272241,3857.929238,50
"Marmota_olympus",5368.562762,0.6808,92.53895145,4
"Martes_americana",760989.5718,13.16598928,4571.26946,34
"Martes_pennanti",739252.7498,13.73871569,4601.265852,31
"Mephitis_macroura",249251.1002,5.93530877,1179.660478,11
"Mephitis_mephitis",7584004.121,24.43698116,4662.044355,119
"Microdipodops_megacephalus",226038.5605,7.3716,929.1445046,8
"Microdipodops_pallidus",31229.72041,3.1581,437.0498991,3
"Microtus_californicus",265260.0685,11.62822312,1421.353637,10
"Microtus_canicaudus",8888.274588,1.8118,203.6678413,4
"Microtus_chrotorrhinus",350543.7096,13.24704841,1992.623553,16
"Microtus_longicaudus",2301856.899,16.79515841,2396.482013,41
"Microtus_mexicanus",226594.8354,6.24501581,955.9330493,9
"Microtus_montanus",1396933.287,15.97166941,2001.17524,33
"Microtus_ochrogaster",2704623.61,19.92755141,2714.600145,50
"Microtus_oregoni",200293.7168,9.84645841,1123.669699,8
"Microtus_pennsylvanicus",3491198.566,20.44332241,4203.074207,71
"Microtus_pinetorum",2718051.879,16.7175,3095.854679,49
"Microtus_richardsoni",672666.8453,11.05595841,1524.050155,21
"Microtus_townsendii",178994.0091,8.74435841,1009.48879,8
"Mormoops_megalophylla",315227.2076,7.28595859,1590.884473,12
"Mustela_erminea",3032899.079,14.79932241,4662.045158,63
"Mustela_frenata",7381606.144,24.05511716,4662.044354,118
"Mustela_nigripes",2257141.931,19.64865441,2524.667561,40
"Mustela_nivalis",1989525.089,14.75752241,3104.878293,40
"Myodes_californicus",200319.8348,8.33561559,932.0945767,7
"Myodes_gapperi",2624860.457,16.53962241,4365.965873,61
"Myotis_auriculus",124509.0826,4.04703459,568.2774976,7
"Myotis_austroriparius",832448.8837,13.20680935,1642.8498,22
"Myotis_californicus",2001210.506,20.030395,2838.392344,42
"Myotis_ciliolabrum",1183157.701,12.75793441,1930.268765,25
"Myotis_evotis",2491582.794,16.4658025,2144.027257,43
"Myotis_grisescens",852989.6212,10.9168,1318.043878,18
"Myotis_keenii",16482.66598,1.92465841,251.3787544,4
"Myotis_leibii",1191135.26,12.84677053,2667.933783,25
"Myotis_lucifugus",5564008.368,19.26272241,4662.045158,89
"Myotis_melanorhinus",2169615.996,20.028744,2610.613745,45
"Myotis_occultus",608132.5698,8.29527259,1203.38925,16
"Myotis_septentrionalis",2438994.272,17.07082241,2671.213534,46
"Myotis_sodalis",1559549.592,14.38036164,2518.133032,32
"Myotis_thysanodes",2358207.823,20.029313,2793.950343,45
"Myotis_velifer",743698.8791,14.27456059,1848.52343,23
"Myotis_volans",3005936.913,20.030395,2838.392344,50
"Myotis_yumanensis",2580241.961,20.030395,2889.745413,46
"Napaeozapus_insignis",734293.716,14.80462241,2248.426015,25
"Nasua_narica",326304.0019,9.49884898,1845.015562,12
"Neofiber_alleni",119700.9309,6.29718491,723.2447949,6
"Neotamias_alpinus",8864.186954,1.962,229.5725925,2
"Neotamias_amoenus",878915.9112,13.25998524,1510.312213,23
"Neotamias_canipes",18917.97993,3.0521,351.881597,2
"Neotamias_cinereicollis",74132.93603,3.1507,637.0901823,3
"Neotamias_dorsalis",459151.6873,11.20496476,1354.687477,16
"Neotamias_merriami",71665.30304,6.09989763,820.4047923,7
"Neotamias_minimus",1864050.446,14.80572241,3151.86962,45
"Neotamias_obscurus",7346.891918,1.04546707,147.9526871,1
"Neotamias_ochrogenys",9525.106329,2.464,299.0092296,2
"Neotamias_palmeri",303.9618543,0.1938,25.0047009,1
"Neotamias_panamintinus",37380.32572,4.209,588.1555324,3
"Neotamias_quadrimaculatus",25543.12627,2.9213,353.0945572,4
"Neotamias_quadrivittatus",296955.8418,5.8334,763.1334174,9
"Neotamias_ruficaudus",124391.1931,4.04565441,578.2772672,5
"Neotamias_rufus",141459.1122,4.6504,604.589047,6
"Neotamias_senex",99346.38116,7.6186,866.3811096,8
"Neotamias_siskiyou",22520.88701,3.1143,374.9311643,3
"Neotamias_sonomae",45768.08987,4.06940759,453.7902954,3
"Neotamias_speciosus",67802.5137,6.9511,880.1535893,6
"Neotamias_townsendii",147898.9907,6.59965841,782.9377934,7
"Neotamias_umbrinus",295472.5959,9.339,1232.654954,15
"Neotoma_albigula",449155.7844,9.2743142,1218.411246,13
"Neotoma_cinerea",2352522.14,14.44325841,2127.625735,41
"Neotoma_devia",72225.85337,4.47134147,512.4438875,5
"Neotoma_floridana",1870311.082,17.2987,2751.279116,40
"Neotoma_fuscipes",171497.9318,10.9996,1263.042183,8
"Neotoma_lepida",827608.8327,12.1458,1416.649049,17
"Neotoma_leucodon",522547.1456,9.74559007,1081.286364,15
"Neotoma_macrotis",135441.4944,8.09742767,1028.84114,8
"Neotoma_magister",313401.8785,7.1086,1193.645262,9
"Neotoma_mexicana",616538.6187,12.01716104,1348.344247,17
"Neotoma_micropus",803743.9164,12.5437727,1467.46811,20
"Neotoma_stephensi",226732.1984,4.8828,742.6406038,7
"Neovison_vison",6047389.947,24.43692174,4662.045158,100
"Neurotrichus_gibbsii",204427.3886,12.44665841,1386.85563,9
"Notiosorex_cockrumi",25843.523,0.98795859,315.1134544,4
"Notiosorex_crawfordi",1325235.771,12.36742171,2455.933637,30
"Nycticeius_humeralis",2752230.199,17.83313552,2745.02725,47
"Nyctinomops_femorosaccus",223300.5922,5.55583659,1518.33685,10
"Nyctinomops_macrotis",1174549.715,13.51865859,2118.588096,27
"Ochotona_princeps",642328.798,13.5098208,2066.239171,29
"Ochrotomys_nuttalli",1443638.195,12.7099,1944.322772,30
"Odocoileus_hemionus",3774976.431,20.030395,2845.438522,63
"Odocoileus_virginianus",6508839.313,24.43698116,4543.931629,111
"Ondatra_zibethicus",6598133.533,20.45321886,4661.991945,108
"Onychomys_arenicola",183453.9824,6.17581597,771.0235365,9
"Onychomys_leucogaster",3286422.356,23.163755,3160.436584,62
"Onychomys_torridus",536137.1599,10.81406951,1436.812707,16
"Oreamnos_americanus",177766.525,11.73607641,1807.675718,19
"Oryzomys_couesi",9591.432508,0.91122242,220.3447848,2
"Oryzomys_palustris",1506759.479,16.6994,2729.887351,33
"Otospermophilus_beecheyi",427452.745,14.39127033,1650.548543,15
"Otospermophilus_variegatus",1210919.042,14.09845459,2060.575165,27
"Ovis_canadensis",376036.5116,19.37905441,2574.47508,36
"Panthera_onca",363.1362559,0.79841317,224.0660788,1
"Parascalops_breweri",599053.6697,11.81577053,1663.625256,18
"Pecari_tajacu",573560.5179,9.2372617,1877.542616,19
"Perognathus_alticola",1031.891915,0.9291,191.2971788,1
"Perognathus_amplus",106339.3641,5.13317679,627.1115152,5
"Perognathus_fasciatus",839022.3901,11.97689641,1450.174383,19
"Perognathus_flavescens",1502563.413,16.83408058,2093.781112,31
"Perognathus_flavus",899221.0588,14.27096839,1670.424212,24
"Perognathus_inornatus",73757.04312,4.7522,627.8152403,4
