"species","chull","gcd","gcell","latrange"
"Tamiasciurus.hudsonicus","8312878.8","4443.79107069628","1970","18.9494666817967"
"Taxidea.taxus","9125443.98","3845.17944964861","3122","29.1685826397283"
"Thomomys.bottae","3019347.42","2945.52249354847","823","20.2694939479348"
"Thomomys.bulbivorus","12481.8","195.357825540724","10","1.6300516838694"
"Thomomys.clusius","6240.9","140.594452237633","7","0.628833755885502"
"Thomomys.idahoensis","182234.28","693.42665077137","69","5.18404885464037"
"Thomomys.mazama","1167048.3","2653.59147571739","56","7.64681458397001"
"Thomomys.monticola","97358.04","610.272201562549","42","4.81259925420979"
"Thomomys.talpoides","3011858.34","2246.88072669646","1012","16.6101454890752"
"Thomomys.townsendii","275847.78","761.189201184568","87","5.15825053857913"
"Thomomys.umbrinus","718951.68","1569.18634967298","200","11.2293994402475"
"Urocitellus.armatus","244643.28","859.29478061955","96","7.20340402354233"
"Urocitellus.beldingi","506761.08","1083.46224668883","181","9.05789009655106"
"Urocitellus.brunneus","185978.82","2977.38460397712","6","1.29926452628876"
"Urocitellus.canus","243395.1","664.486237630246","109","4.69882157991533"
"Urocitellus.columbianus","451841.16","928.204848080422","175","7.10437021993148"
"Urocitellus.elegans","577907.34","1048.92569803585","159","7.26598299187867"
"Urocitellus.mollis","684002.64","1333.48463808174","211","10.5256368993314"
"Urocitellus.richardsonii","836280.6","1586.38751886164","268","7.08498487192522"
"Urocitellus.townsendii","8737.26","144.896100706679","8","1.05186294409248"
"Urocitellus.washingtoni","396921.24","2783.00851597691","19","2.48391857894129"
"Urocyon.cinereoargenteus","11156232.84","4410.85599855629","3238","28.0131237029778"
"Urocyon.littoralis","187227","3371.69650472874","8","12.3140049026031"
"Vulpes.macrotis","2868317.64","3067.31095913016","793","20.8165168223459"
"Vulpes.velox","1899729.96","2328.78010984292","626","18.6630681245956"
"Vulpes.vulpes","10841691.48","4592.00373693228","3360","26.0480481588454"
"Xerospermophilus.mohavensis","33700.86","296.080664684474","18","2.52056966046467"
"Xerospermophilus.spilosoma","2571250.8","2542.74196095475","799","21.8829999223386"
"Xerospermophilus.tereticaudus","470563.86","1302.2489623724","168","10.0507183276968"
"Zapus.hudsonius","8123155.44","4140.08904735152","2051","19.6311044343322"
"Zapus.princeps","3202829.88","2312.45792177933","923","15.6770577024463"
"Zapus.trinotatus","338256.78","1413.5207249984","112","11.9766531693602"
